EnstID	Gene	MIS	LOF	Silent	Total
ENST00000374332	MAN1C1	49	9	29	90
ENST00000330173	ZNF570	69	9	15	93
ENST00000340457	UPK3BL	10	0	2	12
ENST00000340456	ENSG00000187686	3	0	2	5
ENST00000280886	DIP2C	184	20	78	297
ENST00000532498	TSPAN19	24	2	5	34
ENST00000393018	GPR17	53	1	29	83
ENST00000396225	STAP1	45	6	20	73
ENST00000392766	ZBBX	171	23	43	247
ENST00000326306	CCR8	49	2	18	70
ENST00000396220	PREX1	210	9	86	313
ENST00000326303	ACOT4	38	3	10	51
ENST00000396222	LDHA	35	5	8	50
ENST00000378482	TM4SF2	54	6	26	88
ENST00000396229	TMC5	149	12	56	225
ENST00000392769	CEP112	90	17	17	130
ENST00000378487	CLLU1OS	15	1	6	24
ENST00000378486	PLCH2	96	7	43	149
ENST00000424930	ZNF419	46	6	9	64
ENST00000416247_v68	C6orf228	1	2	1	4
XM_373373.1	LOC392549	0	0	2	2
ENST00000325103_v70	HPS1	18	3	15	36
ENST00000398591	CPEB1	73	4	22	105
ENST00000398590	ATXN7	67	10	31	108
ENST00000379687	CXorf23	49	11	22	82
ENST00000379681	TRPC4	203	15	79	302
ENST00000398598	MX1	63	3	31	100
ENST00000409552	CLEC16A	37	1	19	60
ENST00000409556	KDM3A	208	41	76	327
ENST00000378156	NPHP4	129	3	57	198
ENST00000409559	CNRIP1	17	1	11	29
ENST00000233121	MAPRE3	25	10	8	44
ENST00000538795	ENSG00000225996	3	0	0	3
ENST00000397088	GPER	38	0	18	56
ENST00000301463	SPRYD3	41	3	8	52
ENST00000377689	C9orf51	13	0	1	14
ENST00000272852	CPO	40	6	14	62
ENST00000377680	FAM201A	3	0	0	3
ENST00000377687	KLF5	66	4	12	83
ENST00000288873	KRTCAP3	8	2	4	18
ENST00000435820	ZNF257	141	8	39	191
ENST00000395754	IL21R	87	17	34	138
ENST00000538427	TAB2	65	10	10	87
ENST00000395759	MTHFD2L	23	2	4	29
ENST00000399881	KCNU1	382	39	158	599
ENST00000399889	KRTAP13-2	28	3	11	42
ENST00000291386	SSU72	14	1	4	19
ENST00000285930	AKR1B1	32	3	21	57
ENST00000315764	WDR90	17	1	5	24
ENST00000370306	GABRQ	143	7	47	198
ENST00000284154	GRAP	5	0	2	7
ENST00000370300	MTO1	62	5	14	85
ENST00000376223	DHRS3	20	1	15	37
ENST00000376221	AADACL4	63	5	29	98
ENST00000376227	CCDC22	78	4	25	109
ENST00000400451	ZNF74	66	5	24	97
ENST00000395289	BRD2	74	11	27	116
ENST00000395284	CDK1	25	1	7	35
ENST00000376228	HLA-C	155	2	43	205
ENST00000215591	POLRMT	104	4	53	165
ENST00000356840	MYLIP	47	3	19	70
ENST00000356843	NM	4	2	0	6
ENST00000356842	BCL11A	141	6	69	217
ENST00000322374	CDC20B	22	1	7	33
ENST00000321930	ENSG00000175911	4	0	0	4
ENST00000376752	PCSK5	142	15	41	210
ENST00000298189	ENSG00000165429	4	0	1	5
ENST00000360510	DPP3	69	6	26	105
ENST00000402738_v70	HERC3	22	3	11	36
ENST00000499666	LAMTOR3	3	1	4	10
ENST00000298181	SSX7	30	1	19	52
ENST00000294600	CCDC27	83	9	37	136
ENST00000310149	Q2VIK8	17	5	0	23
ENST00000522909	PPP1R42	18	1	1	22
ENST00000310144	PSMC5	37	1	21	64
ENST00000356595	PTGER3	48	3	26	78
ENST00000258743	IL6	25	3	11	39
ENST00000373764	MORN5	22	1	13	36
ENST00000309931	WDR69	84	10	23	121
ENST00000309930	C7orf10	119	16	40	183
ENST00000258749	AOAH	88	10	41	141
ENST00000373768	NDUFA8	19	4	8	31
ENST00000289473	NCF1	24	1	14	40
ENST00000292609	PGLYRP2	78	6	35	120
ENST00000394480	NTRK3	266	13	86	379
NM_024602.4	HECTD3	55	2	17	75
ENST00000394485	MT1X	3	0	3	8
ENST00000324439	RCHY1	16	4	2	23
ENST00000371947	RNLS	23	5	18	47
ENST00000371946	MKNK1	44	3	15	63
ENST00000394157	PSEN1	3	0	5	8
ENST00000324436	ACTL9	94	2	49	145
ENST00000371942	REXO4	24	1	13	43
ENST00000371941	PREX1	237	10	103	360
ENST00000394152	ZNF498	58	6	12	77
ENST00000398868	ATL3	31	2	11	48
ENST00000431022	TMEM40	8	1	5	16
ENST00000418460	KIAA1383	176	22	72	272
ENST00000367419	C6orf72	21	1	10	34
ENST00000367416	CFHR4	97	15	28	142
ENST00000398860	CDH23	364	15	171	564
ENST00000367414	CFHR5	96	7	22	128
ENST00000367415	CFHR2	88	7	25	121
ENST00000367412	F13B	155	16	41	216
ENST00000398864	AEBP2	26	2	11	41
NM_001009555.2	SH3D19	61	8	12	83
ENST00000599531	PNMAL2	58	8	27	94
ENST00000400183	USP25	48	6	17	74
ENST00000400181	KDM1A	47	6	25	80
ENST00000390675	TAS2R31	107	1	62	171
ENST00000390677	TAS2R13	28	0	17	46
ENST00000390670	SLCO1A2	54	2	15	74
ENST00000561003	CSHL1	23	1	9	33
ENST00000244174_v70	IL9R	34	3	12	52
ENST00000575751_v68	OR1D5	33	0	13	47
ENST00000390679	SBF1	130	15	60	216
ENST00000295743	EOMES	71	9	21	106
ENST00000357077	ANK2	595	61	183	856
ENST00000409235	CATSPERG	64	6	24	100
ENST00000357071	ECE1	29	0	19	50
ENST00000372419	PRPS1	6	0	1	8
ENST00000409239	LY6G6E	3	0	0	3
ENST00000240727	ZSCAN18	77	4	29	111
ENST00000422613	ZCCHC17	16	2	1	20
ENST00000246070	C20orf103	66	3	21	93
ENST00000574161	GCOM1	60	4	15	80
ENST00000194900	DLG3	21	3	13	41
ENST00000325748	PRKRA	37	26	8	80
ENST00000369546	SYT6	66	5	27	107
ENST00000369541	BCAS2	23	6	6	35
ENST00000361713	ANKRD30A	415	44	149	650
ENST00000276943	IFNK	10	6	3	19
ENST00000361717	TIFA	17	1	7	25
ENST00000361714	WISP3	32	12	6	51
ENST00000519561	C8orf44	19	3	7	30
ENST00000519560	SLIT3	266	19	125	421
ENST00000267502	RDH12	42	0	17	62
ENST00000406938	CHKB	38	3	17	62
ENST00000381938	TMEM156	44	2	9	58
ENST00000327423	PRR14L	86	11	24	121
ENST00000399054	MKKS	51	1	19	71
ENST00000399050	CTNND1	98	22	20	150
ENST00000397677	CHMP7	41	2	11	59
ENST00000388996	KCNQ3	185	24	78	295
ENST00000357308	GFPT1	18	0	4	23
ENST00000388999	WDR62	15	1	4	20
ENST00000321117	DNMT3A	1346	174	43	1947
ENST00000321110	ZCCHC5	117	11	31	159
ENST00000379278	C6orf114	12	2	5	19
ENST00000389022	NT5M	13	2	9	25
ENST00000257247	AHNAK	10	1	3	18
ENST00000257245	TIMM10	7	0	2	9
ENST00000257248	GIF	41	2	25	73
ENST00000356031	SPEF2	311	51	82	456
ENST00000356033	HN1	14	2	2	19
ENST00000250024	E2F8	86	11	37	135
ENST00000304402	GPR22	35	8	15	59
ENST00000304400	PAM	104	13	22	143
ENST00000251372	LILRA1	139	11	75	229
ENST00000326505	B3GNT5	37	9	7	53
ENST00000251377	LILRA2	49	2	27	82
ENST00000251376	LILRA2	118	7	53	182
ENST00000358502	APOL2	18	7	11	36
ENST00000358506	PPP1CB	38	2	9	51
ENST00000361391	CTNND1	104	25	26	164
ENST00000361390	MT-ND1	37	1	16	57
NM_032105.1	PPP1R12B	108	7	20	147
ENST00000313552	ING5	22	2	8	33
ENST00000313555	OR5AS1	131	3	44	179
ENST00000315251	CHDH	41	7	28	76
NM_022459.3	XPO4	100	19	32	157
ENST00000396147	ZNF418	95	10	26	133
ENST00000226382	PHOX2B	55	10	20	85
ENST00000340967	ACER2	26	1	8	38
ENST00000520164	EBF2	228	17	73	322
ENST00000252816	LSM4	11	3	6	20
ENST00000311956	ARHGAP1	22	2	18	42
ENST00000311955	ABRA	64	3	32	100
ENST00000447280	SERPINE2	45	3	27	77
ENST00000215909	LGALS1	11	0	5	16
XM_498380.1	LOC402418	2	0	1	3
ENST00000407325	GPR1	43	3	13	59
